region	method	quarter	value
0	0	0	0.012
0	0	1	0.025
0	0	2	0
0	0	3	0.001
0	1	0	0
0	1	1	0
0	1	2	0
0	1	3	0
0	2	0	0
0	2	1	0
0	2	2	0
0	2	3	0
0	3	0	0
0	3	1	0
0	3	2	0
0	3	3	0
1	0	0	0.066
1	0	1	0.035
1	0	2	0.106
1	0	3	0.109
1	1	0	0.008
1	1	1	0.002
1	1	2	0.002
1	1	3	0.005
1	2	0	0.029
1	2	1	0.029
1	2	2	0.029
1	2	3	0.029
1	3	0	0.006
1	3	1	0.006
1	3	2	0.006
1	3	3	0.006
2	0	0	0
2	0	1	0
2	0	2	0
2	0	3	0
2	1	0	0.052
2	1	1	0.049
2	1	2	0.041
2	1	3	0.057
2	2	0	0
2	2	1	0
2	2	2	0
2	2	3	0
2	3	0	0.001
2	3	1	0.001
2	3	2	0.001
2	3	3	0.002
3	0	0	0.017
3	0	1	0.014
3	0	2	0.013
3	0	3	0.014
3	1	0	0.002
3	1	1	0.002
3	1	2	0.002
3	1	3	0.002
3	2	0	0.035
3	2	1	0.035
3	2	2	0.036
3	2	3	0.035
3	3	0	0.02
3	3	1	0.02
3	3	2	0.019
3	3	3	0.019
