Gear	Lat	Lon	Catch
OT	-39.5	149.5	0.00025
OT	-38.5	140.5	0.001
OT	-38.5	149.5	0.001
OT	-37.5	139.5	0.00088
OT	-37.5	149.5	0.003
OT	-36.5	135.5	0.00011
OT	-36.5	136.5	0.001
OT	-36.5	137.5	0.00011
OT	-36.5	138.5	0.00022
OT	-35.5	20.5	0.003
OT	-35.5	135.5	0.00044
OT	-35.5	139.5	3e-04
OT	-34.5	20.5	0.1072
OT	-30.5	30.5	5e-04
OT	-29.5	31.5	0.0096
OT	-29.5	37.5	0.001
OT	-5.5	50.5	0.014
OT	-3.5	74.5	5e-04
OT	-2.5	69.5	0.001
OT	-2.5	70.5	7e-04
OT	-2.5	73.5	0.078
OT	-2.5	75.5	5e-04
OT	-2.5	79.5	9e-04
OT	-1.5	69.5	0.117
OT	-1.5	73.5	2.326
OT	-1.5	76.5	7e-04
OT	-0.5	45.5	0.022
OT	-0.5	69.5	1.626
OT	-0.5	70.5	0.017
OT	-0.5	72.5	0.2
OT	-0.5	73.5	44.231
OT	0.5	70.5	0.0085
OT	0.5	72.5	2.064
OT	0.5	73.5	47.027
OT	0.5	74.5	1.489
OT	0.5	75.5	0.043
OT	0.5	80.5	0.009
OT	1.5	67.5	5e-04
OT	1.5	69.5	0.0046
OT	1.5	70.5	0.0011
OT	1.5	71.5	0.0753
OT	1.5	72.5	8.422
OT	1.5	73.5	9.4
OT	1.5	74.5	0.83
OT	1.5	75.5	0.01
OT	2.5	68.5	5e-04
OT	2.5	69.5	2e-04
OT	2.5	70.5	0.6119
OT	2.5	71.5	9.5645
OT	2.5	72.5	105.562
OT	2.5	73.5	39.172
OT	2.5	74.5	6.73039
OT	2.5	75.5	6.906
OT	2.5	76.5	0.893
OT	2.5	77.5	0.001
OT	3.5	68.5	0.001
OT	3.5	69.5	0.0251
OT	3.5	70.5	1.8023
OT	3.5	71.5	9.2058
OT	3.5	72.5	368.149
OT	3.5	73.5	74.80578
OT	3.5	74.5	12.8297566322268
OT	3.5	75.5	0.5656
OT	3.5	76.5	3.41519
OT	3.5	77.5	1.203
OT	4.5	68.5	5e-04
OT	4.5	69.5	4.8205
OT	4.5	70.5	0.0974
OT	4.5	71.5	0.662
OT	4.5	72.5	4.48178
OT	4.5	73.5	538.341
OT	4.5	74.5	9.449
OT	4.5	75.5	0.37278
OT	4.5	76.5	2.368
OT	4.5	77.5	0.989
OT	5.5	68.5	5e-04
OT	5.5	69.5	0.3946
OT	5.5	70.5	1.9897
OT	5.5	71.5	2.3691
OT	5.5	72.5	201.664
OT	5.5	73.5	97.877
OT	5.5	74.5	6.969
OT	5.5	75.5	0.167
OT	5.5	76.5	0.4288
OT	5.5	77.5	0.092
OT	5.5	88.5	1e-04
OT	5.5	93.5	3e-04
OT	6.5	69.5	0.0877
OT	6.5	70.5	0.9018
OT	6.5	71.5	0.178
OT	6.5	72.5	122.974
OT	6.5	73.5	69.48478
OT	6.5	74.5	0.863
OT	6.5	75.5	0.551
OT	6.5	77.5	0.007
OT	7.5	69.5	0.266
OT	7.5	70.5	0.0021
OT	7.5	71.5	7e-04
OT	7.5	72.5	1.975
OT	7.5	73.5	3.023
OT	7.5	74.5	1.668
OT	7.5	75.5	0.00539
OT	7.5	76.5	0.143
OT	7.5	77.5	0.28
OT	8.5	72.5	0.456
OT	10.5	66.5	0.001
OT	10.5	70.5	0.003
OT	10.5	71.5	0.0057
OT	10.5	80.5	0.0096
OT	10.5	88.5	6e-04
OT	10.5	90.5	0.0044
OT	14.5	67.5	0.0052
OT	15.5	65.5	0.136
OT	15.5	66.5	0.0077
OT	15.5	70.5	1e-04
OT	15.5	80.5	0.0069
OT	15.5	85.5	0.0018
OT	19.5	67.5	0.0016
OT	20.5	65.5	0.0732
OT	20.5	66.5	0.0016
OT	24.5	58.5	0.198138312586445
PL	-35.5	20.5	0
PL	-2.5	73.5	0.242
PL	-1.5	69.5	0.625
PL	-1.5	70.5	13.499
PL	-1.5	72.5	3.299
PL	-1.5	73.5	4.851
PL	-1.5	74.5	10.782
PL	-0.5	69.5	3.475
PL	-0.5	70.5	2.727
PL	-0.5	71.5	4.11
PL	-0.5	72.5	46.817
PL	-0.5	73.5	7249.673
PL	-0.5	74.5	47.35
PL	-0.5	75.5	7.106
PL	-0.5	76.5	0.56
PL	-0.5	77.5	0.529
PL	0.5	69.5	15.444
PL	0.5	70.5	24.924
PL	0.5	71.5	29.695
PL	0.5	72.5	551.139
PL	0.5	73.5	22460.797
PL	0.5	74.5	589.621
PL	0.5	75.5	28.839
PL	0.5	76.5	11.983
PL	0.5	77.5	3.33
