data_year	quarter	location	dispersion
2004	0	1.18	0.2
2004	1	1.05	0.2
2004	2	1.17	0.2
2004	3	1.44	0.2
2005	0	1.33	0.2
2005	1	1.19	0.2
2005	2	1.31	0.2
2005	3	1.63	0.2
2006	0	1.4	0.2
2006	1	1.27	0.2
2006	2	1.4	0.2
2006	3	1.73	0.2
2007	0	0.99	0.2
2007	1	0.89	0.2
2007	2	0.99	0.2
2007	3	1.22	0.2
2008	0	0.98	0.2
2008	1	0.88	0.2
2008	2	0.98	0.2
2008	3	1.23	0.2
2009	0	0.92	0.2
2009	1	0.83	0.2
2009	2	0.92	0.2
2009	3	1.12	0.2
2010	0	0.74	0.2
2010	1	0.66	0.2
2010	2	0.73	0.2
2010	3	0.91	0.2
2011	0	0.57	0.2
2011	1	0.52	0.2
2011	2	0.57	0.2
2011	3	0.7	0.2
2012	0	0.62	0.2
2012	1	0.57	0.2
2012	2	0.62	0.2
2012	3	0.77	0.2
