year	quarter	region	method	class	proportion	size
1982	1	3	2	10	0	222
1982	1	3	2	11	0	222
1982	1	3	2	12	0	222
1982	1	3	2	13	0	222
1982	1	3	2	14	0	222
1982	1	3	2	15	0	222
1982	1	3	2	16	0.004505	222
1982	1	3	2	17	0.004505	222
1982	1	3	2	18	0.004505	222
1982	1	3	2	19	0.018018	222
1982	1	3	2	20	0.04955	222
1982	1	3	2	21	0.117117	222
1982	1	3	2	22	0.238739	222
1982	1	3	2	23	0.274775	222
1982	1	3	2	24	0.171171	222
1982	1	3	2	25	0.067568	222
1982	1	3	2	26	0.027027	222
1982	1	3	2	27	0.013514	222
1982	1	3	2	28	0	222
1982	1	3	2	29	0	222
1982	1	3	2	30	0.004505	222
1982	1	3	2	31	0.004505	222
1982	1	3	2	32	0	222
1982	1	3	2	33	0	222
1982	1	3	2	34	0	222
1982	1	3	2	35	0	222
1982	1	3	2	36	0	222
1982	1	3	2	37	0	222
1982	1	3	2	38	0	222
1982	1	3	2	39	0	222
1982	2	3	2	10	0	2608
1982	2	3	2	11	0	2608
1982	2	3	2	12	0	2608
1982	2	3	2	13	0	2608
1982	2	3	2	14	0.00115	2608
1982	2	3	2	15	0.004985	2608
1982	2	3	2	16	0.010353	2608
1982	2	3	2	17	0.016871	2608
1982	2	3	2	18	0.019939	2608
1982	2	3	2	19	0.020322	2608
1982	2	3	2	20	0.019555	2608
1982	2	3	2	21	0.02454	2608
1982	2	3	2	22	0.034893	2608
1982	2	3	2	23	0.041794	2608
1982	2	3	2	24	0.059049	2608
1982	2	3	2	25	0.103144	2608
1982	2	3	2	26	0.16181	2608
1982	2	3	2	27	0.167561	2608
1982	2	3	2	28	0.123083	2608
1982	2	3	2	29	0.078988	2608
1982	2	3	2	30	0.046012	2608
1982	2	3	2	31	0.024923	2608
1982	2	3	2	32	0.012653	2608
1982	2	3	2	33	0.010736	2608
1982	2	3	2	34	0.008819	2608
1982	2	3	2	35	0.005368	2608
1982	2	3	2	36	0.002684	2608
1982	2	3	2	37	0.000767	2608
1982	2	3	2	38	0	2608
1982	2	3	2	39	0	2608
1982	3	3	2	10	0	1390
1982	3	3	2	11	0	1390
1982	3	3	2	12	0	1390
1982	3	3	2	13	0.000719	1390
1982	3	3	2	14	0.002158	1390
1982	3	3	2	15	0.004317	1390
