data_year	quarter	zsize	mean	sd
2005	3	0	0.180531	0.0361062
2005	3	1	0.336424	0.0672848
2005	3	2	0.531102	0.1062204
2005	3	3	0.835563	0.835563
2006	0	0	0.181269	0.0362538
2006	0	1	0.337407	0.0674814
2006	0	2	0.532086	0.1064172
2006	0	3	0.836506	0.836506
2006	1	0	0.251292	0.0502584
2006	1	1	0.430687	0.0861374
2006	1	2	0.625365	0.125073
2006	1	3	0.925969	0.925969
2006	2	0	0.21891	0.043782
2006	2	1	0.38755	0.07751
2006	2	2	0.582229	0.1164458
2006	2	3	0.884597	0.884597
2006	3	0	0.27142	0.054284
2006	3	1	0.457501	0.0915002
2006	3	2	0.652179	0.1304358
2006	3	3	0.951685	0.951685
2007	0	0	0.250345	0.050069
2007	0	1	0.429426	0.0858852
2007	0	2	0.624104	0.1248208
2007	0	3	0.924759	0.924759
2007	1	0	0.283141	0.0566282
2007	1	1	0.473115	0.094623
2007	1	2	0.667794	0.1335588
2007	1	3	0.966661	0.966661
2007	2	0	0.311294	0.0622588
2007	2	1	0.510619	0.1021238
2007	2	2	0.705297	0.1410594
2007	2	3	1.00263	1.00263
2007	3	0	0.243284	0.0486568
2007	3	1	0.42002	0.084004
2007	3	2	0.614698	0.1229396
2007	3	3	0.915738	0.915738
2008	0	0	0.197519	0.0395038
2008	0	1	0.359054	0.0718108
2008	0	2	0.553733	0.1107466
2008	0	3	0.857267	0.857267
2008	1	0	0.240501	0.0481002
2008	1	1	0.416313	0.0832626
2008	1	2	0.610991	0.1221982
2008	1	3	0.912182	0.912182
2008	2	0	0.198463	0.0396926
2008	2	1	0.360312	0.0720624
2008	2	2	0.55499	0.110998
2008	2	3	0.858474	0.858474
2008	3	0	0.200395	0.040079
2008	3	1	0.362886	0.0725772
2008	3	2	0.557564	0.1115128
2008	3	3	0.860942	0.860942
2009	0	0	0.21676	0.043352
2009	0	1	0.384686	0.0769372
2009	0	2	0.579364	0.1158728
2009	0	3	0.88185	0.88185
2009	1	0	0.209751	0.0419502
2009	1	1	0.375349	0.0750698
2009	1	2	0.570027	0.1140054
2009	1	3	0.872895	0.872895
2009	2	0	0.203598	0.0407196
2009	2	1	0.367152	0.0734304
2009	2	2	0.561831	0.1123662
2009	2	3	0.865034	0.865034
