area	method	year	quarter	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	p66	p67	p68	p69	p70	p71	p72	p73	p74	p75	p76	p77	p78	p79	p80	num
E	PS	1985	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00819672131147541	0.00819672131147541	0	0	0.0245901639344262	0.0573770491803279	0.0901639344262295	0.040983606557377	0.0901639344262295	0.0983606557377049	0.0901639344262295	0.0983606557377049	0.0655737704918033	0.0737704918032787	0.040983606557377	0.0573770491803279	0.0737704918032787	0.0327868852459016	0.00819672131147541	0.0245901639344262	0.00819672131147541	0	0	0.00819672131147541	0	0	0	0	0	0	0	0	0	0	0	0	0	122
E	PS	1986	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033434650455927	0.020516717325228	0.0638297872340425	0.0197568389057751	0.053951367781155	0.0448328267477204	0.123860182370821	0.105623100303951	0.124620060790274	0.0972644376899696	0.0668693009118541	0.0493920972644377	0.0835866261398176	0.0372340425531915	0.0258358662613982	0.013677811550152	0.0182370820668693	0.0106382978723404	0.00379939209726444	0.00303951367781155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1316
E	PS	1986	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344262295081967	0.0188524590163934	0.0598360655737705	0.0245901639344262	0.0778688524590164	0.0852459016393443	0.122131147540984	0.118852459016393	0.139344262295082	0.080327868852459	0.0508196721311475	0.040983606557377	0.0557377049180328	0.0336065573770492	0.0213114754098361	0.00901639344262295	0.00327868852459016	0.0114754098360656	0.00655737704918033	0.000819672131147541	0.00491803278688525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220
E	PS	1986	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000816326530612245	0.00326530612244898	0.00326530612244898	0.000816326530612245	0	0	0	0.0118367346938776	0.0102040816326531	0.0224489795918367	0.0204081632653061	0.0595918367346939	0.0644897959183673	0.0995918367346939	0.134285714285714	0.113877551020408	0.117551020408163	0.0587755102040816	0.0481632653061225	0.0808163265306122	0.0485714285714286	0.0183673469387755	0.00775510204081633	0.0191836734693878	0.0175510204081633	0.00775510204081633	0.0130612244897959	0.00897959183673469	0.00612244897959184	0.00163265306122449	0.000816326530612245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2450
E	PS	1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00641025641025641	0	0	0	0.00641025641025641	0	0	0.0192307692307692	0.0384615384615385	0.0641025641025641	0.153846153846154	0.166666666666667	0.262820512820513	0.153846153846154	0.0576923076923077	0.032051282051282	0.032051282051282	0	0	0	0	0.00641025641025641	0	0	0	0	0	0	0	0	0	0	156
E	PS	1988	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00151515151515152	0.00151515151515152	0.00757575757575758	0.00757575757575758	0.00303030303030303	0.00151515151515152	0.00606060606060606	0.0106060606060606	0.00303030303030303	0.0212121212121212	0.0348484848484849	0.0363636363636364	0.0636363636363636	0.0954545454545455	0.110606060606061	0.137878787878788	0.11969696969697	0.121212121212121	0.107575757575758	0.0409090909090909	0.0348484848484849	0.00757575757575758	0.00909090909090909	0.00757575757575758	0.00606060606060606	0.00151515151515152	0.00151515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660
E	PS	1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00630914826498423	0.0252365930599369	0.0599369085173502	0.0914826498422713	0.151419558359621	0.138801261829653	0.1198738170347	0.0946372239747634	0.0725552050473186	0.056782334384858	0.056782334384858	0.0504731861198738	0.0220820189274448	0.00630914826498423	0.0126182965299685	0.0126182965299685	0.00630914826498423	0.00630914826498423	0	0	0.00315457413249211	0	0	0.00315457413249211	0	0	0	0.00315457413249211	0	0	0	0	0	0	0	0	0	317
E	PS	1989	2	0	0	0	0	0	0	0	0	0	0	0.004	0.012	0.004	0.004	0.02	0.016	0.028	0.008	0.032	0.036	0.008	0.02	0	0	0.008	0.008	0.032	0.052	0.108	0.06	0.14	0.084	0.096	0.088	0.052	0.028	0.024	0.008	0.008	0.004	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250
E	PS	1989	3	0	0	0	0	0	0	0	0	0	0	0.00155038759689922	0.0062015503875969	0.00155038759689922	0.00155038759689922	0.00775193798449612	0.00465116279069767	0.0124031007751938	0	0.00465116279069767	0	0.00775193798449612	0.00310077519379845	0.0062015503875969	0.00930232558139535	0.027906976744186	0.0232558139534884	0.0356589147286822	0.0635658914728682	0.110077519379845	0.142635658914729	0.156589147286822	0.127131782945736	0.0930232558139535	0.0666666666666667	0.0248062015503876	0.0232558139534884	0.013953488372093	0.00930232558139535	0.00775193798449612	0.00310077519379845	0.00155038759689922	0	0.00155038759689922	0.00155038759689922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645
E	PS	1989	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130548302872063	0.00261096605744125	0.00522193211488251	0.00261096605744125	0.00130548302872063	0.00261096605744125	0.00522193211488251	0.00522193211488251	0.010443864229765	0.0156657963446475	0.0339425587467363	0.0718015665796345	0.113577023498695	0.122715404699739	0.185378590078329	0.157963446475196	0.10313315926893	0.0691906005221932	0.0509138381201044	0.0221932114882507	0.00913838120104439	0.00652741514360313	0	0	0.00130548302872063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766
