year	quarter	mu45	mu50	mu55	mu60	sd45	sd50	sd55	sd60
2005	4	0.180531	0.336424	0.531102	0.835563	0.013013	0.014981	0.046234	0.22019
2006	1	0.181269	0.337407	0.532086	0.836506	0.013098	0.015005	0.046215	0.22091
2006	2	0.251292	0.430687	0.625365	0.925969	0.01897	0.018744	0.044333	0.28986
2006	3	0.21891	0.38755	0.582229	0.884597	0.015498	0.016805	0.045127	0.2578
2006	4	0.27142	0.457501	0.652179	0.951685	0.021686	0.020267	0.043956	0.3099
2007	1	0.250345	0.429426	0.624104	0.924759	0.018733	0.019324	0.044597	0.28893
2007	2	0.283141	0.473115	0.667794	0.966661	0.023477	0.021465	0.044392	0.32217
2007	3	0.311294	0.510619	0.705297	1.00263	0.02901	0.025292	0.044692	0.35035
2007	4	0.243284	0.42002	0.614698	0.915738	0.019438	0.020249	0.044793	0.28138
2008	1	0.197519	0.359054	0.553733	0.857267	0.013861	0.015926	0.045727	0.23669
2008	2	0.240501	0.416313	0.610991	0.912182	0.018711	0.019212	0.045023	0.2791
2008	3	0.198463	0.360312	0.55499	0.858474	0.014583	0.016476	0.045778	0.23752
2008	4	0.200395	0.362886	0.557564	0.860942	0.015156	0.017122	0.045753	0.23928
2009	1	0.21676	0.384686	0.579364	0.88185	0.017741	0.019824	0.045967	0.25532
2009	2	0.209751	0.375349	0.570027	0.872895	0.017735	0.020393	0.046603	0.24858
2009	3	0.203598	0.367152	0.561831	0.865034	0.018293	0.021683	0.047559	0.24278
