year	quarter	region	method	catch
1950	0	0	1	57
1950	0	0	2	129
1950	0	0	3	59
1950	0	1	1	2000
1950	0	2	1	193
1950	0	2	2	120
1950	0	2	3	150
1950	1	0	1	57
1950	1	0	2	129
1950	1	0	3	59
1950	1	1	1	2000
1950	1	2	1	193
1950	1	2	2	120
1950	1	2	3	150
1950	2	0	1	57
1950	2	0	2	129
1950	2	0	3	59
1950	2	1	1	2000
1950	2	2	1	193
1950	2	2	2	120
1950	2	2	3	150
1950	3	0	1	57
1950	3	0	2	129
1950	3	0	3	59
1950	3	1	1	2000
1950	3	2	1	193
1950	3	2	2	120
1950	3	2	3	150
1951	0	0	1	56
1951	0	0	2	129
1951	0	0	3	60
1951	0	1	1	2000
1951	0	2	1	289
1951	0	2	2	358
1951	0	2	3	529
1951	1	0	1	56
1951	1	0	2	129
1951	1	0	3	60
1951	1	1	1	2000
1951	1	2	1	289
1951	1	2	2	358
1951	1	2	3	529
1951	2	0	1	56
1951	2	0	2	129
1951	2	0	3	60
1951	2	1	1	2000
1951	2	2	1	289
1951	2	2	2	358
1951	2	2	3	529
1951	3	0	1	56
1951	3	0	2	129
1951	3	0	3	60
1951	3	1	1	2000
1951	3	2	1	289
1951	3	2	2	358
1951	3	2	3	529
1952	0	0	1	56
1952	0	0	2	130
1952	0	0	3	59
1952	0	1	1	2000
1952	0	2	1	224
1952	0	2	2	353
1952	0	2	3	540
1952	1	0	1	56
1952	1	0	2	130
1952	1	0	3	59
1952	1	1	1	2000
1952	1	2	1	224
1952	1	2	2	353
1952	1	2	3	540
1952	2	0	1	56
1952	2	0	2	130
1952	2	0	3	59
1952	2	1	1	2000
1952	2	2	1	224
1952	2	2	2	353
1952	2	2	3	540
1952	3	0	1	56
1952	3	0	2	130
1952	3	0	3	59
1952	3	1	1	2000
1952	3	2	1	224
1952	3	2	2	353
1952	3	2	3	559
1953	0	0	1	55
1953	0	0	2	192
1953	0	0	3	60
1953	0	1	1	2250
1953	0	2	1	161
1953	0	2	2	332
1953	0	2	3	526
1953	1	0	1	55
1953	1	0	2	192
1953	1	0	3	60
1953	1	1	1	2250
1953	1	2	1	161
1953	1	2	2	332
1953	1	2	3	521
1953	2	0	1	55
1953	2	0	2	192
1953	2	0	3	60
1953	2	1	1	2250
1953	2	2	1	161
1953	2	2	2	332
1953	2	2	3	521
1953	3	0	1	55
1953	3	0	2	192
1953	3	0	3	60
1953	3	1	1	2250
1953	3	2	1	161
1953	3	2	2	332
1953	3	2	3	551
1954	0	0	1	56
1954	0	0	2	198
1954	0	0	3	61
1954	0	1	1	2250
1954	0	2	1	151
1954	0	2	2	391
1954	0	2	3	639
1954	1	0	1	56
1954	1	0	2	198
1954	1	0	3	129
1954	1	1	1	2250
1954	1	2	1	151
1954	1	2	2	391
1954	1	2	3	653
1954	2	0	1	56
1954	2	0	2	198
1954	2	0	3	61
1954	2	1	1	2250
1954	2	2	1	151
1954	2	2	2	391
1954	2	2	3	653
1954	3	0	1	56
1954	3	0	2	198
1954	3	0	3	61
1954	3	1	1	2250
1954	3	2	1	151
1954	3	2	2	391
1954	3	2	3	637
1955	0	0	1	56
1955	0	0	2	204
1955	0	0	3	117
1955	0	1	1	2250
1955	0	2	1	140
1955	0	2	2	387
1955	0	2	3	637
1955	1	0	1	56
1955	1	0	2	204
1955	1	0	3	163
1955	1	1	1	2250
1955	1	2	1	140
1955	1	2	2	387
1955	1	2	3	640
1955	2	0	1	56
1955	2	0	2	204
1955	2	0	3	167
1955	2	1	1	2250
1955	2	2	1	140
1955	2	2	2	387
1955	2	2	3	623
1955	3	0	1	56
1955	3	0	2	204
1955	3	0	3	208
1955	3	1	1	2250
1955	3	2	1	140
1955	3	2	2	387
1955	3	2	3	641
1956	0	0	1	57
1956	0	0	2	191
1956	0	0	3	220
1956	0	1	1	2250
1956	0	2	1	185
1956	0	2	2	425
1956	0	2	3	683
1956	1	0	1	57
1956	1	0	2	191
1956	1	0	3	167
1956	1	1	1	2250
1956	1	2	1	185
1956	1	2	2	425
1956	1	2	3	688
1956	2	0	1	57
1956	2	0	2	191
1956	2	0	3	330
1956	2	1	1	2250
1956	2	2	1	185
1956	2	2	2	425
1956	2	2	3	676
1956	3	0	1	57
1956	3	0	2	191
1956	3	0	3	69
1956	3	1	1	2250
1956	3	2	1	185
1956	3	2	2	425
1956	3	2	3	731
1957	0	0	1	57
1957	0	0	2	476
1957	0	0	3	116
1957	0	1	1	2500
1957	0	2	1	189
1957	0	2	2	410
1957	0	2	3	685
1957	1	0	1	57
1957	1	0	2	476
1957	1	0	3	75
1957	1	1	1	2500
1957	1	2	1	189
1957	1	2	2	410
1957	1	2	3	681
1957	2	0	1	57
1957	2	0	2	476
1957	2	0	3	106
1957	2	1	1	2500
1957	2	2	1	189
1957	2	2	2	410
1957	2	2	3	650
1957	3	0	1	57
1957	3	0	2	476
1957	3	0	3	152
1957	3	1	1	2500
1957	3	2	1	189
1957	3	2	2	410
1957	3	2	3	661
1958	0	0	1	56
1958	0	0	2	243
1958	0	0	3	126
1958	0	1	1	2500
1958	0	2	1	205
1958	0	2	2	417
1958	0	2	3	665
1958	1	0	1	56
1958	1	0	2	243
1958	1	0	3	156
1958	1	1	1	2500
1958	1	2	1	205
