status intensity
  0   0.0
  1   0.0
  2   0.0
  3   0.0
  4   0.0
  5   0.0
  6   0.0
  7   0.0
  8   0.0
  9   0.0
 10   0.0
 11   3.3
 12   6.7
 13  10.0
 14  13.3
 15  16.7
 16  20.0
 17  23.3
 18  26.7
 19  30.0
 20  33.3
 21  36.7
 22  40.0
 23  43.3
 24  46.7
 25  50.0
 26  53.3
 27  56.7
 28  60.0
 29  63.3
 30  66.7
 31  70.0
 32  73.3
 33  76.7
 34  80.0
 35  83.3
 36  86.7
 37  90.0
 38  93.3
 39  96.7
 40 100.0
 41 100.0
 42 100.0
 43 100.0
 44 100.0
 45 100.0
 46 100.0
 47 100.0
 48 100.0
 49 100.0
 50 100.0
 51 100.0
 52 100.0
 53 100.0
 54 100.0
 55 100.0
 56 100.0
 57 100.0
 58 100.0
 59 100.0
 60 100.0
 61 100.0
 62 100.0
 63 100.0
 64 100.0
 65 100.0
 66 100.0
 67 100.0
 68 100.0
 69 100.0
 70 100.0
 71 100.0
 72 100.0
 73 100.0
 74 100.0
 75 100.0
 76 100.0
 77 100.0
 78 100.0
 79 100.0
 80 100.0
 81 100.0
 82 100.0
 83 100.0
 84 100.0
 85 100.0
 86 100.0
 87 100.0
 88 100.0
 89 100.0
 90 100.0
 91 100.0
 92 100.0
 93 100.0
 94 100.0
 95 100.0
 96 100.0
 97 100.0
 98 100.0
 99 100.0
100 100.0
