variable	value
spawners_unfished.value	1928855
recruits_deviations(1985).value	-0.5021785
recruits_deviations(1986).value	0.358623
recruits_deviations(1987).value	-0.06064945
recruits_deviations(1988).value	-0.5419905
recruits_deviations(1989).value	-0.3041095
recruits_deviations(1990).value	0.1254815
recruits_deviations(1991).value	-0.593382
recruits_deviations(1992).value	-0.081761
recruits_deviations(1993).value	0.13798
recruits_deviations(1994).value	-0.0717031
recruits_deviations(1995).value	0.5338705
recruits_deviations(1996).value	0.4269935
recruits_deviations(1997).value	0.2133405
recruits_deviations(1998).value	0.490589
recruits_deviations(1999).value	0.0418474
recruits_deviations(2000).value	0.2980545
recruits_deviations(2001).value	0.3821805
recruits_deviations(2002).value	-0.0309922
recruits_deviations(2003).value	0.7604215
recruits_deviations(2004).value	0.9600815
recruits_deviations(2005).value	-1.053025
recruits_deviations(2006).value	-0.647239
recruits_deviations(2007).value	0.548911
recruits_deviations(2008).value	0.4419105
recruits_deviations(2009).value	0.0955421
recruits_deviations(2010).value	-0.5336245
selectivities(1,0).value	0.0014275
selectivities(1,1).value	0.0074145
selectivities(1,2).value	0.0536965
selectivities(1,3).value	0.1066855
selectivities(1,4).value	0.2314135
selectivities(1,5).value	0.809298
selectivities(1,6).value	0.349129
selectivities(0,0).value	0.000129
selectivities(0,1).value	0.003968
selectivities(0,2).value	0.153638
selectivities(0,3).value	0.8702465
selectivities(0,4).value	0.3252365
selectivities(0,5).value	0.023024
selectivities(0,6).value	0.005702
selectivities(3,0).value	0.0024525
selectivities(3,1).value	0.012414
selectivities(3,2).value	0.0701695
selectivities(3,3).value	0.165678
selectivities(3,4).value	0.3220765
selectivities(3,5).value	0.841005
selectivities(3,6).value	0.6711995
selectivities(2,0).value	0.0024525
selectivities(2,1).value	0.012414
selectivities(2,2).value	0.0701695
selectivities(2,3).value	0.165678
selectivities(2,4).value	0.3220765
selectivities(2,5).value	0.841005
selectivities(2,6).value	0.6711995
mortality_base.value	0.8
recruits_steepness.value	0.8
