spawners_unfished.value	recruits_deviations(1985).value	recruits_deviations(1986).value	recruits_deviations(1987).value	recruits_deviations(1988).value	recruits_deviations(1989).value	recruits_deviations(1990).value	recruits_deviations(1991).value	recruits_deviations(1992).value	recruits_deviations(1993).value	recruits_deviations(1994).value	recruits_deviations(1995).value	recruits_deviations(1996).value	recruits_deviations(1997).value	recruits_deviations(1998).value	recruits_deviations(1999).value	recruits_deviations(2000).value	recruits_deviations(2001).value	recruits_deviations(2002).value	recruits_deviations(2003).value	recruits_deviations(2004).value	recruits_deviations(2005).value	recruits_deviations(2006).value	recruits_deviations(2007).value	recruits_deviations(2008).value	recruits_deviations(2009).value	recruits_deviations(2010).value	selectivities(0,0).value	selectivities(0,1).value	selectivities(0,2).value	selectivities(0,3).value	selectivities(0,4).value	selectivities(0,5).value	selectivities(0,6).value	selectivities(1,0).value	selectivities(1,1).value	selectivities(1,2).value	selectivities(1,3).value	selectivities(1,4).value	selectivities(1,5).value	selectivities(1,6).value	selectivities(2,0).value	selectivities(2,1).value	selectivities(2,2).value	selectivities(2,3).value	selectivities(2,4).value	selectivities(2,5).value	selectivities(2,6).value	selectivities(3,0).value	selectivities(3,1).value	selectivities(3,2).value	selectivities(3,3).value	selectivities(3,4).value	selectivities(3,5).value	selectivities(3,6).value	mortality_base.value	recruits_steepness.value
3540570	-0.631752	0.870059	-0.612283	-0.496396	-0.13199	0.162644	-0.799681	0.180161	0.57396	0.231356	1.09662	0.54041	0.753052	0.304743	-0.0898699	0.692322	0.308605	0.0437592	0.758373	-0.784704	-2.3387	-0.0112945	0.58889	0.135457	-0.143633	-1.20011	0.000144	0.004458	0.171234	0.86991	0.265899	0.019123	0.005717	0.000144	0.004458	0.171234	0.86991	0.265899	0.019123	0.005717	0.000144	0.004458	0.171234	0.86991	0.265899	0.019123	0.005717	0.000144	0.004458	0.171234	0.86991	0.265899	0.019123	0.005717	0.7	0.7
2333860	-0.75915	0.699285	-0.570099	-0.527827	-0.262988	0.164343	-0.808365	0.0447949	0.45236	0.125429	1.00612	0.526879	0.69579	0.424772	-0.144731	0.630137	0.304074	-0.0747331	0.917765	-0.146521	-2.28532	0.0331797	0.540736	0.190305	-0.124805	-1.05143	0.000144	0.003927	0.15603	0.893334	0.3741	0.040592	0.013553	0.000144	0.003927	0.15603	0.893334	0.3741	0.040592	0.013553	0.000144	0.003927	0.15603	0.893334	0.3741	0.040592	0.013553	0.000144	0.003927	0.15603	0.893334	0.3741	0.040592	0.013553	0.8	0.7
1779980	-0.844747	0.592956	-0.525074	-0.546423	-0.355765	0.176302	-0.770694	-0.0466171	0.350997	0.0274498	0.92926	0.517261	0.64185	0.529848	-0.147349	0.603165	0.336189	-0.0932233	1.02686	0.141655	-2.27197	0.0494677	0.494806	0.218205	-0.157204	-0.877211	0.000146	0.003401	0.142021	0.915752	0.512185	0.084761	0.032276	0.000146	0.003401	0.142021	0.915752	0.512185	0.084761	0.032276	0.000146	0.003401	0.142021	0.915752	0.512185	0.084761	0.032276	0.000146	0.003401	0.142021	0.915752	0.512185	0.084761	0.032276	0.9	0.7
3462550	-0.62636	0.868587	-0.612457	-0.494843	-0.133731	0.149547	-0.813368	0.159948	0.547248	0.212024	1.09145	0.547185	0.766755	0.323713	-0.0733831	0.711733	0.332402	0.0675874	0.783714	-0.774918	-2.3189	-0.00236771	0.557086	0.090869	-0.155041	-1.20448	0.000144	0.004451	0.17103	0.870157	0.266499	0.019124	0.005705	0.000144	0.004451	0.17103	0.870157	0.266499	0.019124	0.005705	0.000144	0.004451	0.17103	0.870157	0.266499	0.019124	0.005705	0.000144	0.004451	0.17103	0.870157	0.266499	0.019124	0.005705	0.7	0.8
2270360	-0.743958	0.702323	-0.566005	-0.525298	-0.265318	0.145155	-0.825662	0.0188259	0.415076	0.0965122	0.991864	0.528067	0.71195	0.44653	-0.125033	0.651154	0.32787	-0.0502757	0.941796	-0.134039	-2.25819	0.0489837	0.508329	0.145467	-0.1342	-1.05192	0.000144	0.003923	0.155827	0.89367	0.375566	0.040738	0.013575	0.000144	0.003923	0.155827	0.89367	0.375566	0.040738	0.013575	0.000144	0.003923	0.155827	0.89367	0.375566	0.040738	0.013575	0.000144	0.003923	0.155827	0.89367	0.375566	0.040738	0.013575	0.8	0.8
1729160	-0.818066	0.598416	-0.517287	-0.543607	-0.35789	0.151471	-0.791043	-0.0747976	0.307123	-0.00833263	0.906288	0.513325	0.657421	0.552968	-0.123889	0.625434	0.357704	-0.068889	1.04805	0.155142	-2.23871	0.07139	0.464895	0.1755	-0.166023	-0.876593	0.000146	0.003398	0.14184	0.916109	0.514508	0.085276	0.032436	0.000146	0.003398	0.14184	0.916109	0.514508	0.085276	0.032436	0.000146	0.003398	0.14184	0.916109	0.514508	0.085276	0.032436	0.000146	0.003398	0.14184	0.916109	0.514508	0.085276	0.032436	0.9	0.8
3406290	-0.619892	0.867337	-0.611072	-0.493207	-0.134329	0.139315	-0.823352	0.144139	0.525869	0.196906	1.08711	0.552525	0.77692	0.337607	-0.0610759	0.725605	0.349111	0.0844216	0.801625	-0.764628	-2.30333	0.00506798	0.531874	0.0555163	-0.163641	-1.20642	0.000144	0.004447	0.170884	0.870336	0.266947	0.019131	0.005699	0.000144	0.004447	0.170884	0.870336	0.266947	0.019131	0.005699	0.000144	0.004447	0.170884	0.870336	0.266947	0.019131	0.005699	0.000144	0.004447	0.170884	0.870336	0.266947	0.019131	0.005699	0.7	0.9
2224700	-0.730446	0.704489	-0.561881	-0.522856	-0.26626	0.130032	-0.839035	-0.00147499	0.385221	0.0735788	0.980395	0.528963	0.723963	0.462269	-0.110427	0.666078	0.345922	-0.0314307	0.95961	-0.122177	-2.23738	0.0617684	0.482832	0.110009	-0.141023	-1.05075	0.000144	0.00392	0.15568	0.893913	0.376662	0.040868	0.013603	0.000144	0.00392	0.15568	0.893913	0.376662	0.040868	0.013603	0.000144	0.00392	0.15568	0.893913	0.376662	0.040868	0.013603	0.000144	0.00392	0.15568	0.893913	0.376662	0.040868	0.013603	0.8	0.9
1692270	-0.799142	0.603189	-0.512043	-0.540735	-0.359077	0.132191	-0.807956	-0.0966858	0.272154	-0.0371343	0.888252	0.510229	0.669828	0.570343	-0.106504	0.642189	0.374928	-0.0496714	1.06529	0.166441	-2.21435	0.0894228	0.442297	0.142304	-0.171535	-0.87423	0.000146	0.003396	0.141709	0.916365	0.51618	0.085639	0.032547	0.000146	0.003396	0.141709	0.916365	0.51618	0.085639	0.032547	0.000146	0.003396	0.141709	0.916365	0.51618	0.085639	0.032547	0.000146	0.003396	0.141709	0.916365	0.51618	0.085639	0.032547	0.9	0.9
2646330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433505	-1.06767	0.0918508	0.58471	0.375434	-0.0941698	-0.323659	0.000135	0.004743	0.168887	0.877714	0.302085	0.023904	0.007121	0.000135	0.004743	0.168887	0.877714	0.302085	0.023904	0.007121	0.000135	0.004743	0.168887	0.877714	0.302085	0.023904	0.007121	0.000135	0.004743	0.168887	0.877714	0.302085	0.023904	0.007121	0.7	0.7
1928830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675634	-1.00731	0.00679685	0.484495	0.317289	-0.140578	-0.336331	0.000136	0.004131	0.154185	0.900694	0.435444	0.065261	0.024806	0.000136	0.004131	0.154185	0.900694	0.435444	0.065261	0.024806	0.000136	0.004131	0.154185	0.900694	0.435444	0.065261	0.024806	0.000136	0.004131	0.154185	0.900694	0.435444	0.065261	0.024806	0.8	0.7
1627490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.812	-0.981491	-0.0403174	0.422937	0.268207	-0.168353	-0.312982	0.000139	0.003599	0.141864	0.919442	0.564432	0.129467	0.057756	0.000139	0.003599	0.141864	0.919442	0.564432	0.129467	0.057756	0.000139	0.003599	0.141864	0.919442	0.564432	0.129467	0.057756	0.000139	0.003599	0.141864	0.919442	0.564432	0.129467	0.057756	0.9	0.7
2421820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580311	-0.984986	-0.380156	0.701718	0.414718	-0.0426029	-0.289002	0.000121	0.005539	0.171216	0.881204	0.314614	0.02495	0.007315	0.000121	0.005539	0.171216	0.881204	0.314614	0.02495	0.007315	0.000121	0.005539	0.171216	0.881204	0.314614	0.02495	0.007315	0.000121	0.005539	0.171216	0.881204	0.314614	0.02495	0.007315	0.7	0.8
1857100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.700085	-1.00779	0.0326315	0.466607	0.282951	-0.144375	-0.330106	0.000136	0.004112	0.153687	0.90114	0.43578	0.064093	0.024084	0.000136	0.004112	0.153687	0.90114	0.43578	0.064093	0.024084	0.000136	0.004112	0.153687	0.90114	0.43578	0.064093	0.024084	0.000136	0.004112	0.153687	0.90114	0.43578	0.064093	0.024084	0.8	0.8
1562700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.834844	-0.984173	-0.00811937	0.410529	0.23574	-0.174327	-0.314493	0.000139	0.003583	0.141402	0.920038	0.566971	0.128906	0.057105	0.000139	0.003583	0.141402	0.920038	0.566971	0.128906	0.057105	0.000139	0.003583	0.141402	0.920038	0.566971	0.128906	0.057105	0.000139	0.003583	0.141402	0.920038	0.566971	0.128906	0.057105	0.9	0.8
2357800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603359	-0.988706	-0.372226	0.69297	0.392543	-0.0426347	-0.285306	0.000121	0.005533	0.170955	0.881568	0.315241	0.024754	0.007209	0.000121	0.005533	0.170955	0.881568	0.315241	0.024754	0.007209	0.000121	0.005533	0.170955	0.881568	0.315241	0.024754	0.007209	0.000121	0.005533	0.170955	0.881568	0.315241	0.024754	0.007209	0.7	0.9
1804830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.718092	-1.01163	0.0536318	0.454091	0.258451	-0.146111	-0.326519	0.000136	0.004098	0.15331	0.901492	0.436174	0.063322	0.023604	0.000136	0.004098	0.15331	0.901492	0.436174	0.063322	0.023604	0.000136	0.004098	0.15331	0.901492	0.436174	0.063322	0.023604	0.000136	0.004098	0.15331	0.901492	0.436174	0.063322	0.023604	0.8	0.9
1516290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.850934	-0.989393	0.0177467	0.401904	0.21234	-0.17728	-0.316252	0.000139	0.003572	0.141052	0.920494	0.568868	0.128436	0.056588	0.000139	0.003572	0.141052	0.920494	0.568868	0.128436	0.056588	0.000139	0.003572	0.141052	0.920494	0.568868	0.128436	0.056588	0.000139	0.003572	0.141052	0.920494	0.568868	0.128436	0.056588	0.9	0.9
3326250	-0.0830466	0.836599	-0.321839	-0.511589	-0.31064	-0.0915701	-0.679657	0.00311823	0.317383	-0.0811258	0.639182	0.251855	0.284276	0.376005	0.0621773	0.538567	0.719207	2.0563	-0.250026	-1.56412	-2.59984	-0.764323	1.18438	0.89278	-0.033443	-0.87061	0.000164	0.002978	0.143134	0.884025	0.161256	0.001362	0.00015	0.000164	0.002978	0.143134	0.884025	0.161256	0.001362	0.00015	0.000164	0.002978	0.143134	0.884025	0.161256	0.001362	0.00015	0.000164	0.002978	0.143134	0.884025	0.161256	0.001362	0.00015	0.7	0.7
1991120	-0.187048	0.777672	-0.250903	-0.45621	-0.305099	0.00406868	-0.667225	-0.0986299	0.25781	-0.126313	0.613447	0.260806	0.27875	0.462605	-0.0343278	0.459733	0.474211	0.351122	1.71929	-1.38529	-2.46231	-0.482792	1.06819	0.62575	0.0450942	-0.942401	0.000147	0.002977	0.133071	0.917534	0.218681	0.001207	8.6e-05	0.000147	0.002977	0.133071	0.917534	0.218681	0.001207	8.6e-05	0.000147	0.002977	0.133071	0.917534	0.218681	0.001207	8.6e-05	0.000147	0.002977	0.133071	0.917534	0.218681	0.001207	8.6e-05	0.8	0.7
1536750	-0.248961	0.701329	-0.207687	-0.433883	-0.312421	0.0657912	-0.626727	-0.122481	0.208415	-0.166798	0.573882	0.267256	0.249285	0.523866	-0.0578791	0.442603	0.350785	-0.179155	1.88812	-1.03146	-2.35625	-0.355327	1.03981	0.577258	0.0725138	-0.861875	0.00015	0.002656	0.124111	0.948214	0.375132	0.00395	0.000316	0.00015	0.002656	0.124111	0.948214	0.375132	0.00395	0.000316	0.00015	0.002656	0.124111	0.948214	0.375132	0.00395	0.000316	0.00015	0.002656	0.124111	0.948214	0.375132	0.00395	0.000316	0.9	0.7
3290770	-0.0563892	0.836325	-0.30492	-0.499443	-0.302047	-0.100829	-0.685266	-0.0191654	0.281108	-0.101447	0.610476	0.238684	0.278093	0.370009	0.065223	0.530082	0.733723	2.05516	-0.219437	-1.5457	-2.58348	-0.754742	1.18189	0.872039	-0.0280352	-0.851908	0.000163	0.002985	0.143186	0.884016	0.161161	0.001358	0.000149	0.000163	0.002985	0.143186	0.884016	0.161161	0.001358	0.000149	0.000163	0.002985	0.143186	0.884016	0.161161	0.001358	0.000149	0.000163	0.002985	0.143186	0.884016	0.161161	0.001358	0.000149	0.7	0.8
1954810	-0.154566	0.783171	-0.232092	-0.440933	-0.293252	-0.00847177	-0.675725	-0.123019	0.213955	-0.155547	0.576743	0.24041	0.272167	0.455802	-0.0281268	0.458583	0.471756	0.364355	1.72357	-1.35428	-2.43653	-0.465318	1.06376	0.604385	0.0531072	-0.913906	0.000147	0.002981	0.133092	0.917622	0.219118	0.00121	8.6e-05	0.000147	0.002981	0.133092	0.917622	0.219118	0.00121	8.6e-05	0.000147	0.002981	0.133092	0.917622	0.219118	0.00121	8.6e-05	0.000147	0.002981	0.133092	0.917622	0.219118	0.00121	8.6e-05	0.8	0.8
1504450	-0.216779	0.707741	-0.189337	-0.419503	-0.30044	0.0506188	-0.637985	-0.14697	0.163165	-0.199577	0.534922	0.242258	0.243299	0.517326	-0.0497772	0.445226	0.347218	-0.159927	1.88672	-1.00219	-2.32876	-0.335215	1.03542	0.558093	0.0843407	-0.829881	0.00015	0.002661	0.12411	0.94832	0.375843	0.003957	0.000316	0.00015	0.002661	0.12411	0.94832	0.375843	0.003957	0.000316	0.00015	0.002661	0.12411	0.94832	0.375843	0.003957	0.000316	0.00015	0.002661	0.12411	0.94832	0.375843	0.003957	0.000316	0.9	0.8
3265280	-0.0372959	0.838002	-0.292209	-0.489523	-0.294372	-0.106393	-0.689372	-0.0355013	0.253581	-0.117634	0.589053	0.2286	0.273846	0.365904	0.0672492	0.524137	0.743758	2.0546	-0.197859	-1.53251	-2.57178	-0.747785	1.18008	0.855758	-0.0238032	-0.838527	0.000163	0.00299	0.143231	0.883994	0.161081	0.001356	0.000149	0.000163	0.00299	0.143231	0.883994	0.161081	0.001356	0.000149	0.000163	0.00299	0.143231	0.883994	0.161081	0.001356	0.000149	0.000163	0.00299	0.143231	0.883994	0.161081	0.001356	0.000149	0.7	0.9
1928880	-0.131716	0.787914	-0.217278	-0.428318	-0.28287	-0.0161547	-0.681985	-0.140859	0.180422	-0.178863	0.548784	0.224621	0.267693	0.451392	-0.0235603	0.458132	0.469746	0.373295	1.7272	-1.3319	-2.41802	-0.452653	1.06058	0.587671	0.0595709	-0.892844	0.000147	0.002985	0.133116	0.917664	0.219402	0.001212	8.6e-05	0.000147	0.002985	0.133116	0.917664	0.219402	0.001212	8.6e-05	0.000147	0.002985	0.133116	0.917664	0.219402	0.001212	8.6e-05	0.000147	0.002985	0.133116	0.917664	0.219402	0.001212	8.6e-05	0.8	0.9
1481720	-0.193122	0.713932	-0.175302	-0.407202	-0.289916	0.0403844	-0.646593	-0.165143	0.128197	-0.225624	0.504801	0.222745	0.239203	0.513048	-0.0436997	0.447582	0.344212	-0.146482	1.88566	-0.979611	-2.30883	-0.320863	1.03214	0.542682	0.0938491	-0.806047	0.00015	0.002664	0.124123	0.948366	0.376322	0.003966	0.000317	0.00015	0.002664	0.124123	0.948366	0.376322	0.003966	0.000317	0.00015	0.002664	0.124123	0.948366	0.376322	0.003966	0.000317	0.00015	0.002664	0.124123	0.948366	0.376322	0.003966	0.000317	0.9	0.9
2177280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.893183	-1.03619	-0.632891	0.776205	0.47685	-0.0826942	-0.394462	0.000134	0.003844	0.146337	0.888128	0.15799	0.000864	7.2e-05	0.000134	0.003844	0.146337	0.888128	0.15799	0.000864	7.2e-05	0.000134	0.003844	0.146337	0.888128	0.15799	0.000864	7.2e-05	0.000134	0.003844	0.146337	0.888128	0.15799	0.000864	7.2e-05	0.7	0.7
1630980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06035	-0.96687	-0.646142	0.652313	0.410553	-0.113277	-0.396929	0.000133	0.003463	0.135123	0.927096	0.35413	0.008881	0.001287	0.000133	0.003463	0.135123	0.927096	0.35413	0.008881	0.001287	0.000133	0.003463	0.135123	0.927096	0.35413	0.008881	0.001287	0.000133	0.003463	0.135123	0.927096	0.35413	0.008881	0.001287	0.8	0.7
1420890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12408	-0.966989	-0.635594	0.612051	0.3578	-0.144522	-0.346824	0.000136	0.003056	0.125352	0.95087	0.531893	0.028079	0.005403	0.000136	0.003056	0.125352	0.95087	0.531893	0.028079	0.005403	0.000136	0.003056	0.125352	0.95087	0.531893	0.028079	0.005403	0.000136	0.003056	0.125352	0.95087	0.531893	0.028079	0.005403	0.9	0.7
2094750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91308	-1.04849	-0.614413	0.775055	0.446915	-0.0831427	-0.389007	0.000134	0.003804	0.145591	0.889172	0.157324	0.000844	7e-05	0.000134	0.003804	0.145591	0.889172	0.157324	0.000844	7e-05	0.000134	0.003804	0.145591	0.889172	0.157324	0.000844	7e-05	0.000134	0.003804	0.145591	0.889172	0.157324	0.000844	7e-05	0.7	0.8
1570020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06956	-0.978807	-0.616044	0.660867	0.376864	-0.117975	-0.394464	0.000133	0.003435	0.134581	0.928505	0.349922	0.007796	0.001055	0.000133	0.003435	0.134581	0.928505	0.349922	0.007796	0.001055	0.000133	0.003435	0.134581	0.928505	0.349922	0.007796	0.001055	0.000133	0.003435	0.134581	0.928505	0.349922	0.007796	0.001055	0.8	0.8
1366460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14327	-0.979695	-0.612135	0.622406	0.329305	-0.144879	-0.358271	0.000135	0.003059	0.125056	0.953623	0.539279	0.025767	0.004613	0.000135	0.003059	0.125056	0.953623	0.539279	0.025767	0.004613	0.000135	0.003059	0.125056	0.953623	0.539279	0.025767	0.004613	0.000135	0.003059	0.125056	0.953623	0.539279	0.025767	0.004613	0.9	0.8
2034450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.927125	-1.06131	-0.59911	0.776113	0.42549	-0.0816127	-0.386692	0.000134	0.003778	0.145124	0.889783	0.156776	0.000833	6.9e-05	0.000134	0.003778	0.145124	0.889783	0.156776	0.000833	6.9e-05	0.000134	0.003778	0.145124	0.889783	0.156776	0.000833	6.9e-05	0.000134	0.003778	0.145124	0.889783	0.156776	0.000833	6.9e-05	0.7	0.9
1524800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07631	-0.993677	-0.591919	0.669063	0.353462	-0.11778	-0.395456	0.000133	0.003416	0.134215	0.929215	0.347023	0.00723	0.000942	0.000133	0.003416	0.134215	0.929215	0.347023	0.00723	0.000942	0.000133	0.003416	0.134215	0.929215	0.347023	0.00723	0.000942	0.000133	0.003416	0.134215	0.929215	0.347023	0.00723	0.000942	0.8	0.9
1326220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15162	-0.995046	-0.586648	0.632345	0.307375	-0.143917	-0.365733	0.000135	0.00305	0.124824	0.954686	0.540056	0.0245	0.004238	0.000135	0.00305	0.124824	0.954686	0.540056	0.0245	0.004238	0.000135	0.00305	0.124824	0.954686	0.540056	0.0245	0.004238	0.000135	0.00305	0.124824	0.954686	0.540056	0.0245	0.004238	0.9	0.9
3619800	0.0656785	0.414461	0.0205688	0.11651	0.218648	0.231034	0.231949	0.379321	0.149295	0.171786	-0.00481265	0.0896486	0.2825	0.363067	0.233356	0.362152	-0.464111	2.97653	-1.42242	-2.38731	-4.02742	-0.186645	1.30442	1.38265	0.662294	-1.16315	0.000108	5.7e-05	0.000267	0.440255	0.000424	0.000381	0.000376	0.000108	5.7e-05	0.000267	0.440255	0.000424	0.000381	0.000376	0.000108	5.7e-05	0.000267	0.440255	0.000424	0.000381	0.000376	0.000108	5.7e-05	0.000267	0.440255	0.000424	0.000381	0.000376	0.7	0.7
3109050	-0.00871726	0.402212	-0.089597	0.0706406	0.152999	0.148678	0.136139	0.250213	0.0108797	0.039724	-0.125739	0.00687904	0.169305	0.456876	0.0807553	0.387542	-0.0221712	2.82153	-0.925592	-1.90321	-3.00767	-0.698801	1.21355	1.43691	0.438152	-1.44149	5e-06	4.3e-05	3.1e-05	0.703584	0.004516	5.6e-05	5.8e-05	5e-06	4.3e-05	3.1e-05	0.703584	0.004516	5.6e-05	5.8e-05	5e-06	4.3e-05	3.1e-05	0.703584	0.004516	5.6e-05	5.8e-05	5e-06	4.3e-05	3.1e-05	0.703584	0.004516	5.6e-05	5.8e-05	0.8	0.7
2081780	0.0167125	0.373311	-0.0608974	0.0757874	0.142847	0.144039	0.140604	0.229616	0.0195776	0.0314316	-0.130253	-0.0163194	0.133303	0.264299	-0.194063	-0.664758	-1.16546	2.93535	0.566469	-1.32536	-2.7921	-0.436463	1.28308	1.42132	0.421088	-1.41318	4e-06	3.1e-05	2.2e-05	0.797268	0.006624	4.1e-05	4.2e-05	4e-06	3.1e-05	2.2e-05	0.797268	0.006624	4.1e-05	4.2e-05	4e-06	3.1e-05	2.2e-05	0.797268	0.006624	4.1e-05	4.2e-05	4e-06	3.1e-05	2.2e-05	0.797268	0.006624	4.1e-05	4.2e-05	0.9	0.7
3568780	0.0770781	0.401788	0.0283621	0.11311	0.21443	0.222221	0.23146	0.362835	0.148249	0.15676	-0.016013	0.0763972	0.25526	0.344569	0.220544	0.333836	-0.427649	2.95802	-1.39675	-2.36847	-4.00826	-0.172297	1.31666	1.38587	0.676962	-1.13496	0.000107	5.8e-05	0.000267	0.442878	0.000428	0.000381	0.000376	0.000107	5.8e-05	0.000267	0.442878	0.000428	0.000381	0.000376	0.000107	5.8e-05	0.000267	0.442878	0.000428	0.000381	0.000376	0.000107	5.8e-05	0.000267	0.442878	0.000428	0.000381	0.000376	0.7	0.8
2988090	0.0413057	0.414492	-0.0160008	0.121747	0.19908	0.221053	0.218385	0.371674	0.12808	0.165285	-0.0276505	0.0974821	0.265781	0.398838	0.237544	0.322516	-0.614937	2.95502	-1.20131	-2.05606	-3.93464	-0.418667	1.4494	1.38495	0.539769	-1.26313	1.4e-05	0.000117	9.6e-05	0.562129	0.001435	0.000156	0.000158	1.4e-05	0.000117	9.6e-05	0.562129	0.001435	0.000156	0.000158	1.4e-05	0.000117	9.6e-05	0.562129	0.001435	0.000156	0.000158	1.4e-05	0.000117	9.6e-05	0.562129	0.001435	0.000156	0.000158	0.8	0.8
2465210	-0.0195023	0.416439	-0.0652702	0.113314	0.187665	0.211078	0.196326	0.380716	0.101539	0.152486	-0.0508397	0.0932546	0.187478	0.604642	-1.01043	0.662693	-0.755052	2.94975	-0.737157	-1.793	-3.64677	-0.246968	1.25292	1.52197	0.615828	-1.32312	4e-06	3.4e-05	2.4e-05	0.772191	0.006049	4.4e-05	4.5e-05	4e-06	3.4e-05	2.4e-05	0.772191	0.006049	4.4e-05	4.5e-05	4e-06	3.4e-05	2.4e-05	0.772191	0.006049	4.4e-05	4.5e-05	4e-06	3.4e-05	2.4e-05	0.772191	0.006049	4.4e-05	4.5e-05	0.9	0.8
3347740	0.10602	0.396061	0.0511119	0.119571	0.215876	0.225197	0.236843	0.351218	0.150252	0.137546	-0.0311083	0.0474034	0.153815	0.418597	0.288959	-1.18785	0.611163	3.01065	-1.34268	-2.37024	-3.93913	-0.17011	1.36759	1.44356	0.753895	-1.04421	0.000114	5.2e-05	0.000268	0.404018	0.000362	0.000378	0.000373	0.000114	5.2e-05	0.000268	0.404018	0.000362	0.000378	0.000373	0.000114	5.2e-05	0.000268	0.404018	0.000362	0.000378	0.000373	0.000114	5.2e-05	0.000268	0.404018	0.000362	0.000378	0.000373	0.7	0.9
2929030	0.0683866	0.406881	0.000791468	0.125702	0.203465	0.220557	0.228628	0.357818	0.146336	0.147223	-0.0165702	0.0660875	0.28289	0.31117	0.317987	0.254023	-0.805286	2.95562	-1.11906	-2.01991	-3.90802	-0.399084	1.45986	1.38034	0.565201	-1.23104	1.4e-05	0.000117	9.6e-05	0.562135	0.001435	0.000156	0.000158	1.4e-05	0.000117	9.6e-05	0.562135	0.001435	0.000156	0.000158	1.4e-05	0.000117	9.6e-05	0.562135	0.001435	0.000156	0.000158	1.4e-05	0.000117	9.6e-05	0.562135	0.001435	0.000156	0.000158	0.8	0.9
2006770	-0.201552	-0.364204	-0.951936	-0.953664	0.106165	-0.072549	0.723246	-0.021137	0.0341154	0.0176725	-0.1427	-0.028606	0.151744	0.394603	0.0918536	0.273593	-0.0395361	2.90843	0.221209	-1.17833	-2.72303	-0.396814	1.38507	1.50945	0.571156	-1.31424	3e-06	3.1e-05	2.2e-05	0.797564	0.006631	4.1e-05	4.2e-05	3e-06	3.1e-05	2.2e-05	0.797564	0.006631	4.1e-05	4.2e-05	3e-06	3.1e-05	2.2e-05	0.797564	0.006631	4.1e-05	4.2e-05	3e-06	3.1e-05	2.2e-05	0.797564	0.006631	4.1e-05	4.2e-05	0.9	0.9
2915090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05143	-1.28734	-0.642496	0.796215	0.128696	0.18483	-0.231338	1.7e-05	0.000138	0.000117	0.550637	0.001188	0.000187	0.000187	1.7e-05	0.000138	0.000117	0.550637	0.001188	0.000187	0.000187	1.7e-05	0.000138	0.000117	0.550637	0.001188	0.000187	0.000187	1.7e-05	0.000138	0.000117	0.550637	0.001188	0.000187	0.000187	0.7	0.7
