dir	ps	h	m	opts
runs/EqualwtsALL/10_M0.7_steepness0.7_PS1	1	0.7	0.7	EqualwtsALL
runs/EqualwtsALL/11_M0.8_steepness0.7_PS1	1	0.7	0.8	EqualwtsALL
runs/EqualwtsALL/12_M0.9_steepness0.7_PS1	1	0.7	0.9	EqualwtsALL
runs/EqualwtsALL/13_M0.7_steepness0.8_PS1	1	0.8	0.7	EqualwtsALL
runs/EqualwtsALL/14_M0.8_steepness0.8_PS1	1	0.8	0.8	EqualwtsALL
runs/EqualwtsALL/15_M0.9_steepness0.8_PS1	1	0.8	0.9	EqualwtsALL
runs/EqualwtsALL/16_M0.7_steepness0.9_PS1	1	0.9	0.7	EqualwtsALL
runs/EqualwtsALL/17_M0.8_steepness0.9_PS1	1	0.9	0.8	EqualwtsALL
runs/EqualwtsALL/18_M0.9_steepness0.9_PS1	1	0.9	0.9	EqualwtsALL
runs/EqualwtsALL/1_M0.7_steepness0.7_PS0	0	0.7	0.7	EqualwtsALL
runs/EqualwtsALL/2_M0.8_steepness0.7_PS0	0	0.7	0.8	EqualwtsALL
runs/EqualwtsALL/3_M0.9_steepness0.7_PS0	0	0.7	0.9	EqualwtsALL
runs/EqualwtsALL/4_M0.7_steepness0.8_PS0	0	0.8	0.7	EqualwtsALL
runs/EqualwtsALL/5_M0.8_steepness0.8_PS0	0	0.8	0.8	EqualwtsALL
runs/EqualwtsALL/6_M0.9_steepness0.8_PS0	0	0.8	0.9	EqualwtsALL
runs/EqualwtsALL/7_M0.7_steepness0.9_PS0	0	0.9	0.7	EqualwtsALL
runs/EqualwtsALL/8_M0.8_steepness0.9_PS0	0	0.9	0.8	EqualwtsALL
runs/EqualwtsALL/9_M0.9_steepness0.9_PS0	0	0.9	0.9	EqualwtsALL
runs/lowesstagsLF/10_M0.7_steepness0.7_PS1	1	0.7	0.7	lowesstagsLF
runs/lowesstagsLF/11_M0.8_steepness0.7_PS1	1	0.7	0.8	lowesstagsLF
runs/lowesstagsLF/12_M0.9_steepness0.7_PS1	1	0.7	0.9	lowesstagsLF
runs/lowesstagsLF/13_M0.7_steepness0.8_PS1	1	0.8	0.7	lowesstagsLF
runs/lowesstagsLF/14_M0.8_steepness0.8_PS1	1	0.8	0.8	lowesstagsLF
runs/lowesstagsLF/15_M0.9_steepness0.8_PS1	1	0.8	0.9	lowesstagsLF
runs/lowesstagsLF/16_M0.7_steepness0.9_PS1	1	0.9	0.7	lowesstagsLF
runs/lowesstagsLF/17_M0.8_steepness0.9_PS1	1	0.9	0.8	lowesstagsLF
runs/lowesstagsLF/18_M0.9_steepness0.9_PS1	1	0.9	0.9	lowesstagsLF
runs/lowesstagsLF/1_M0.7_steepness0.7_PS0	0	0.7	0.7	lowesstagsLF
runs/lowesstagsLF/2_M0.8_steepness0.7_PS0	0	0.7	0.8	lowesstagsLF
runs/lowesstagsLF/3_M0.9_steepness0.7_PS0	0	0.7	0.9	lowesstagsLF
runs/lowesstagsLF/4_M0.7_steepness0.8_PS0	0	0.8	0.7	lowesstagsLF
runs/lowesstagsLF/5_M0.8_steepness0.8_PS0	0	0.8	0.8	lowesstagsLF
runs/lowesstagsLF/6_M0.9_steepness0.8_PS0	0	0.8	0.9	lowesstagsLF
runs/lowesstagsLF/7_M0.7_steepness0.9_PS0	0	0.9	0.7	lowesstagsLF
runs/lowesstagsLF/8_M0.8_steepness0.9_PS0	0	0.9	0.8	lowesstagsLF
runs/lowesstagsLF/9_M0.9_steepness0.9_PS0	0	0.9	0.9	lowesstagsLF
runs/nolengthcomps/10_M0.7_steepness0.7_PS1	1	0.7	0.7	nolengthcomps
runs/nolengthcomps/11_M0.8_steepness0.7_PS1	1	0.7	0.8	nolengthcomps
runs/nolengthcomps/12_M0.9_steepness0.7_PS1	1	0.7	0.9	nolengthcomps
runs/nolengthcomps/13_M0.7_steepness0.8_PS1	1	0.8	0.7	nolengthcomps
runs/nolengthcomps/14_M0.8_steepness0.8_PS1	1	0.8	0.8	nolengthcomps
runs/nolengthcomps/15_M0.9_steepness0.8_PS1	1	0.8	0.9	nolengthcomps
runs/nolengthcomps/16_M0.7_steepness0.9_PS1	1	0.9	0.7	nolengthcomps
runs/nolengthcomps/17_M0.8_steepness0.9_PS1	1	0.9	0.8	nolengthcomps
runs/nolengthcomps/18_M0.9_steepness0.9_PS1	1	0.9	0.9	nolengthcomps
runs/nolengthcomps/1_M0.7_steepness0.7_PS0	0	0.7	0.7	nolengthcomps
runs/nolengthcomps/2_M0.8_steepness0.7_PS0	0	0.7	0.8	nolengthcomps
runs/nolengthcomps/3_M0.9_steepness0.7_PS0	0	0.7	0.9	nolengthcomps
runs/nolengthcomps/4_M0.7_steepness0.8_PS0	0	0.8	0.7	nolengthcomps
runs/nolengthcomps/5_M0.8_steepness0.8_PS0	0	0.8	0.8	nolengthcomps
